SONG_ID,Clean_Lyrics,Word_Count,Unique_Word_Count,Repetition_Score,Average_Line_Length,Vocabulary_Diversity,Title_Repetition,Explicit_Word_Count,Sentiment_Score,Positive_Score,Negative_Score,Emotional_Intensity
2pX4FpOgwItRVPPUFdRcxA,"man, it's a hot one
like seven inches from the midday sun
well, i hear you whisper and the words melt everyone
but you stay so cool

my muñequita
my spanish harlem mona lisa
you're my reason for reason
the step in my groove, yeah

and if you said, ""this life ain't good enough""
i would give my world to lift you up
i could change my life to better suit your mood (yeah)
because you're so smooth

and it's just like the ocean under the moon
it's the same as the emotion that i get from you
you got the kind of lovin' that can be so smooth, yeah
give me your heart, make it real, or else forget about it

but i'll tell you one thing
if you would leave, it'd be a crying shame
in every breath and every word
i hear your name calling me out, yeah

well, out from the barrio
you hear my rhythm on your radio
you would feel the turning of the world, so soft and slow
turnin' you 'round and 'round

and if you said, ""this life ain't good enough""
i would give my world to lift you up
i could change my life to better suit your mood (yeah)
because you're so smooth

and it's just like the ocean under the moon
it's the same as the emotion that i get from you
you got the kind of lovin' that can be so smooth, yeah
give me your heart, make it real, or else forget about it, yeah

and it's just like the ocean under the moon
it's the same as the emotion that i get from you
you got the kind of lovin' that can be so smooth, yeah
give me your heart, make it real, or else forget about it, yeah

or else forget about it
oh, or else forget about it
oh, let's don't forget about it
(give me your heart, make it real)
oh, let's don't forget about it, hey
let's don't forget about it now, oh, no
oh, let's don't forget about it, no, no, no
oh, let's don't forget about it, hey, no, no
oh, let's don't forget about it, hey, hey, hey",369,121,0.6721,8.2,0.3279,5,0,0.9949,0.197,0.079,0.9949
47BBI51FKFwOMlIiX6m8ya,a letra nao esta sincronizada com a musica,8,7,0.125,8.0,0.875,0,0,0.0,0.0,0.0,0.0
6naxalmIoLFWR0siv8dnQQ,"mm, yeah
yeah, yeah, yeah, yeah, yeah, yeah
yeah, yeah, yeah, yeah, yeah, yeah

i think i did it again
i made you believe we're more than just friends
oh, baby, it might seem like a crush
but it doesn't mean that i'm serious

'cause to lose all my senses
that is just so typically me
ooh, baby, baby

oops, i did it again, i played with your heart
got lost in the game, oh, baby, baby
oops, you think i'm in love, that i'm sent from above
i'm not that innocent

you see, my problem is this
i'm dreaming away, wishing that heroes, they truly exist
i cry watching the days
can't you see i'm a fool in so many ways?

but to lose all my senses
that is just so typically me
oh, baby, oh

oops, i did it again, i played with your heart
got lost in the game, oh, baby, baby
oops, you think i'm in love, that i'm sent from above
i'm not that innocent

yeah, yeah, yeah, yeah, yeah, yeah
yeah, yeah, yeah, yeah, yeah, yeah

""all aboard!""
""britney! before you go, there's something i want you to have""
""oh, it's beautiful! but wait a minute, isn't this...?""
""yeah, yes, it is""
""but i thought the old lady dropped it into the ocean in the end""
""well, baby, i went down and got it for ya""
""aw, you shouldn't have""

oops, i did it again to your heart
got lost in this game, oh, baby
oops, you (oops, you) think that i'm sent from above
i'm not that innocent

oops, i did it again, i played with your heart
got lost in the game, oh, baby, baby
oops, you think i'm in love, that i'm sent from above (yeah)
i'm not that innocent

oops, i did it again, i played with your heart
got lost in the game, oh, baby, baby
oops, you think i'm in love, that i'm sent from above
i'm not that innocent",332,115,0.6536,7.2174,0.3464,0,0,0.998,0.311,0.121,0.998
62bOmKYxYg7dhrC6gH9vFn,"hey, hey
bye, bye, bye
bye, bye
bye, bye

i, i'm doing this tonight
you're probably gonna start a fight
i know this can't be right, hey baby, come on
i loved you endlessly
and you weren't there for me
so now it's time to leave and make it alone

i know that i can't take no more, it ain't no lie
i wanna see you out that door
baby, bye, bye, bye

(bye, bye) i don't want to be a fool for you
just another player in your game for two
you may hate me but it ain't no lie
baby, bye, bye, bye

(bye, bye) i don't really want to make it tough
i just wanna tell you that i had enough
it might sound crazy but it ain't no lie
baby, bye, bye, bye

just hit me with the truth
now, girl you're more than welcome to
so give me one good reason, baby, come on
i live for you and me
and now i really come to see
that life would be much better once you're gone

i know that i can't take no more, it ain't no lie
i wanna see you out that door
baby, bye, bye, bye

(bye, bye) i don't want to be a fool for you
just another player in your game for two
you may hate me but it ain't no lie
baby, bye, bye, bye

(bye, bye) i don't really want to make it tough
i just wanna tell you that i had enough
might sound crazy but it ain't no lie
baby, bye, bye, bye

i'm giving up, i know for sure
i don't wanna be the reason for your love no more
(bye, bye) i'm checkin' out, i'm signin' off
i don't want to be the loser and i've had enough

i don't wanna be your fool
in this game for two
so i'm leaving you behind
bye, bye, bye
i don't wanna make it tough
but i've had enough
and it ain't no lie (bye, bye)
(bye, bye) baby

i don't want to be a fool for you
or just another player in your game for two
i don't wanna be a fool
but it ain't no lie
baby, bye, bye, bye

(bye, bye) i don't really want to make it tough
i just wanna tell you that i had enough
it might sound crazy but it ain't no lie
bye, bye, bye",407,108,0.7346,6.8983,0.2654,0,0,-0.3947,0.112,0.131,0.3947
3UmaczJpikHgJFyBTAJVoz,"my tea's gone cold, i'm wondering why i got out of bed at all
the morning rain clouds up my window and i can't see at all
and even if i could it'll all be grey, but your picture on my wall
it reminds me, that it's not so bad, it's not so bad

my tea's gone cold, i'm wondering why i got out of bed at all
the morning rain clouds up my window and i can't see at all

and even if i could it'll all be gray, but your picture on my wall
it reminds me, that it's not so bad, it's not so bad

dear slim i wrote you, but you still ain't callin'
i left my cell, my pager and my home phone at the bottom
i sent two letters back in autumn, you must not've got em

there probably was a problem at the post office or something

sometimes i scribble addresses too sloppy when i jot 'em
but anyways, fuck it, what's been up man, how's your daughter?
my girlfriend's pregnant too, i'm 'bout to be a father
if i have a daughter, guess what i'mma call her?
i'mma name her bonnie
i read about your uncle ronnie too, i'm sorry
i had a friend kill himself over some bitch who didn't want him
i know you probably hear this every day, but i'm your biggest fan
i even got the underground shit that you did with skam
i got a room full of your posters and your pictures, man
i like the shit you did with rawkus too, that shit was phat
anyways, i hope you get this man, hit me back
just to chat, truly yours, your biggest fan, this is stan

my tea's gone cold, i'm wondering why i got out of bed at all
the morning rain clouds up my window and i can't see at all

and even if i could it'll all be gray, but your picture on my wall
it reminds me, that it's not so bad, it's not so bad

dear slim, you still ain't called or wrote; i hope you have a chance
i ain't mad, i just think it's fucked up you don't answer fans
if you didn't want to talk to me outside the concert

you didn't have to, but you could've signed an autograph for matthew
that's my little brother man, he's only six years old
we waited in the blistering cold for you

for four hours and you just said no
that's pretty shitty man, you're like his fucking idol
he wants to be just like you, man, he likes you more than i do
i ain't that mad though, i just don't like being lied to
remember when we met in denver?
you said if i'd write you, you would write back
see, i'm just like you in a way
i never knew my father neither
he used to always cheat on my mom and beat her
i can relate to what you're saying in your songs
so when i have a shitty day, i drift away and put 'em on
cause i don't really got shit else
so that shit helps when i'm depressed
i even got a tattoo of your name across the chest
sometimes i even cut myself to see how much it bleeds
it's like adrenaline, the pain is such a sudden rush for me
see everything you say is real, and i respect you cause you tell it
my girlfriend's jealous cause i talk about you 24/7
but she don't know you like i know you, slim, no one does
she don't know what it was like for people like us growing up
you gotta call me, man, i'll be the biggest fan you'll ever lose
sincerely yours, stan
p.s. we should be together too

my tea's gone cold, i'm wondering why i got out of bed at all
the morning rain clouds up my window and i can't see at all
and even if i could it'll all be gray, but your picture on my wall

it reminds me, that it's not so bad, it's not so bad

dear mr. i'm-too-good-to-call-or-write-my-fans
this'll be the last package i ever send your ass
it's been six months and still no word, i don't deserve it?
i know you got my last two letters
i wrote the addresses on 'em perfect

so this is my cassette i'm sending you, i hope you hear it
i'm in the car right now, i'm doing 90 on the freeway
hey, slim, i drank a fifth of vodka, you dare me to drive
you know the song by phil collins ""in the air of the night""
about that guy who could've saved that other guy from drowning
but didn't, then phil saw it all, then at a a show he found him
that's kinda how this is, you could've rescued me from drowning
now it's too late, i'm on a thousand downers now, i'm drowsy
and all i wanted was a lousy letter or a call
i hope you know i ripped all of your pictures off the wall
i loved you slim, we could've been together, think about it
you ruined it now, i hope you can't sleep and you dream about it
and when you dream
i hope you can't sleep and you scream about it
i hope your conscience eats at you
and you can't breathe without me
see, slim, shut up bitch, i'm tryna talk
hey, slim, that's my girlfriend screamin' in the trunk
but i didn't slit her throat, i just tied her up, see i ain't like you
cause if she suffocates she'll suffer more and then she'll die too

well, gotta go, i'm almost at the bridge now
oh shit, i forgot, how am i supposed to send this shit out?

my tea's gone cold, i'm wondering why i got out of bed at all
the morning rain clouds up my window and i can't see at all

and even if i could it'll all be gray, but your picture on my wall
it reminds me, that it's not so bad, it's not so bad

dear, stan, i meant to write you sooner but i just been busy
you said your girlfriend's pregnant now, how far along is she?
look, i'm really flattered you would call your daughter that
and here's an autograph for your brother

i wrote it on a starter cap
i'm sorry i didn't see you at the show, i must've missed you
don't think i did that shit intentionally just to diss you
but what's this shit you said about you like to cut your wrists too?
i say that shit just clowning, dawg, come on, how fucked up is you?
you got some issues stan, i think you need some counseling
to help your ass from bouncing off the walls when you get down some
and what's this shit about us meant to be together?
that type of shit'll make me not want us to meet each other
i really think you and your girlfriend need each other
or maybe you just need to treat her better
i hope you get to read this letter, i just hope it reaches you in time
before you hurt yourself, i think that you'll be doing just fine
if you relax a little, i'm glad i inspire you, but stan
why are you so mad?
try to understand, that i do want you as a fan
i just don't want you to do some crazy shit
i seen this one shit on the news a couple weeks ago that made me sick
some dude was drunk and drove his car over a bridge
and had his girlfriend in the trunk
and she was pregnant with his kid
and in the car they found a tape, but they didn't say who it was to
come to think about it, his name was...
it was you.
damn!",1334,437,0.6724,10.9344,0.3276,6,20,-0.878,0.137,0.138,0.878
0KQx6HOpJueiSkztcS0r7D,"i keep on fallin' in
and out of love with you
sometimes i love you
sometimes you make me blue

sometimes i feel good
at times i feel used
lovin' you darlin'
makes me so confused

i keep on fallin' in and out
of love with you
i never loved someone
the way that i love you

oh, oh, i

never felt this way
how do you give me so much pleasure
and cause me so much pain? (yeah, yeah)
just when i think
i've taken more than would a fool
i start fallin' back in love with you

i keep on fallin' in and out
of love with you
i never loved someone
the way that i love you

oh, baby
i, i, i, i'm fallin' (yeah, yeah)
i, i, i, i'm fallin'
fall, fall, fall (sing)
fall

i keep on fallin' in and out (out)
of love (love), with you (with you)
i never loved someone
the way that i love you

i'm fallin' in and out
of love (of love), with you (with you)
i never loved someone
the way that i love you

i'm fallin' in and out
of love (of love), with you (with you)
i never (no), loved someone (no, no)
the way that i love you
what?",214,71,0.6682,5.2195,0.3318,9,0,0.9962,0.285,0.086,0.9962
60a0Rd6pjrkxjPbaKzXjfq,as letras nao estao sincronizadas com a musica,8,8,0.0,8.0,1.0,0,0,0.0,0.0,0.0,0.0
0gmbgwZ8iqyMPmXefof8Yf,"never made it as a wise man
i couldn't cut it as a poor man stealing
tired of living like a blind man
i'm sick of sight without a sense of feeling

and this is how you remind me

this is how you remind me
of what i really am
this is how you remind me
of what i really am

it's not like you to say ""sorry""
i was waiting on a different story
this time, i'm mistaken
for handing you a heart worth breaking

and i've been wrong, i've been down
been to the bottom of every bottle
these five words in my head
scream, ""are we having fun yet?""

yeah, yeah, yeah, no, no
yeah, yeah, yeah, no, no

it's not like you didn't know that
i said, ""i love you,"" and i swear, i still do
and it must have been so bad
'cause living with me must have damn near killed you

and this is how you remind me
of what i really am
this is how you remind me
of what i really am

it's not like you to say ""sorry""
i was waiting on a different story
this time, i'm mistaken
for handing you a heart worth breaking

and i've been wrong, i've been down
been to the bottom of every bottle
these five words in my head
scream, ""are we having fun yet?""

yeah, yeah, yeah, no, no
yeah, yeah, yeah, no, no
yeah, yeah, yeah, no, no
yeah, yeah, yeah, no, no

never made it as a wise man
i couldn't cut it as a poor man stealing
and this is how you remind me
this is how you remind me

this is how you remind me
of what i really am
this is how you remind me
of what i really am

it's not like you to say ""sorry""
i was waiting on a different story
this time i'm mistaken
for handing you a heart worth breaking

and i've been wrong, i've been down
been to the bottom of every bottle
these five words in my head
scream, ""are we having fun yet?""

yeah, yeah, are we having fun yet?
yeah, yeah, are we having fun yet?
yeah, yeah, are we having fun yet?

yeah, yeah

no, no",378,96,0.746,6.3,0.254,9,1,0.6545,0.196,0.191,0.6545
04KTF78FFg8sOHC1BADqbY,"it's hot in
so hot in here
so hot in (ah)
oh!

want a little bit of (uh, uh), and a little bit of (uh, uh)
just a little bit of, just a little bit of
just a little bit of, just a little bit of

i was like, good gracious, ass is bodacious (uh)
flirtatious, tryna show patience (ah)
i'm waitin' for the right time to shoot my steez (you know)
waitin' for the right time to flash them keys
then, uh, i'm leavin', please believe in (oh)
me and the rest of my heathens
check it, got it locked at the top of the fo' seasons
penthouse, rooftop, birds i'm feedin'

no deceivin', nothin' up my sleeve and
no teasin', i need you to
get up, up on the dance floor
give that man what he askin' for (oh)
'cause i feel like bustin' loose
and i feel like touchin' you, uh, uh
and can't nobody stop the juice
so baby, tell me, what's the use? i said

it's gettin' hot in here (so hot)
so take off all your clothes (ay)
i am gettin' so hot
i wanna take my clothes off (oh)
it's gettin' hot in here (so hot)
so take off all your clothes (ay)
i am gettin' so hot
i wanna take my clothes off (let it hang all out)

why you at the bar if you ain't poppin' the bottles? (c'mon)
what good is all the fame if you ain't fuckin' the models?
i see you drivin' sports cars, ain't hittin' the throttle
and i'll be down to do a hundred, top down and goggles
got off the freeway, exit 106, and parked it
ashtray, flip gate, time to spark it
went gucci collar for dollar, got out and walked it
i spit game 'cause, baby, i can't talk it

warm (uh), sweatin' (uh), it's hot up in this joint
vokal tank top on at this point
you wit' a winner so, baby, you can't lose
i got secrets, can't leave cancun
so take it off like you're home alone
you know, dance in front your mirror while you're on the phone
checkin' your reflection and tellin' your best friend
like, ""girl, i think my butt gettin' big"" (oh)

it's gettin' hot in here (so hot)
so take off all your clothes (ay)
i am gettin' so hot
i wanna take my clothes off (oh)
it's gettin' hot in here (so hot)
so take off all your clothes (ay)
i am gettin' so hot
i wanna take my clothes off (let it hang all out)

mix a little bit of (ah, ah) with a little bit of (ah, ah)
let it just fall out
give a little bit of (ah, ah) with a little bit of (ah, ah)
let it hang all out
with a little bit of (ah, ah) and a sprinkle of that (ah, ah)
let it just fall out
i like it when ya (ah, ah), girl, baby make it (ah, ah)
oh

stop pacin', time wastin'
i got a friend with a pole in the basement (what?)
i'm just kiddin' like jason (oh)
unless you gon' do it
extra, extra (ay), spread the news (check it)
nelly took a trip from the lou' to the neptunes
came back with somethin' thicker than fittin' in sassoons
say she learned a thing about cuttin' in restrooms (oh)

it's gettin' hot in here (so hot)
so take off all your clothes (ay)
i am gettin' so hot
i wanna take my clothes off (oh)
it's gettin' hot in here (so hot)
so take off all your clothes (ay)
i am gettin' so hot
i wanna take my clothes off (let it hang all out)

it's gettin' hot in here (so hot)
so take off all your clothes (ay)
i am gettin' so hot
i wanna take my clothes off (oh)
it's gettin' hot in here (so hot)
so take off all your clothes (ay)
i am gettin' so hot (bring it, bring it)
i wanna take my clothes off (let it hang all out)

mix a little bit of (ah, ah) with a little bit of (ah, ah)
let it just fall out
give a little bit of (ah, ah) with a little bit of (ah, ah)
let it hang all out
with a little bit of (ah, ah) and a sprinkle of that (ah, ah)
let it just fall out
i like it when ya (ah, ah), girl, baby make it (ah, ah) oh",753,243,0.6773,8.0106,0.3227,0,1,0.9914,0.083,0.023,0.9914
5Z01UMMf7V1o0MzF86s6WJ,"look
if you had one shot, or one opportunity
to seize everything you ever wanted
one moment
would you capture it or just let it slip?
yo

his palms are sweaty, knees weak, arms are heavy
there's vomit on his sweater already, mom's spaghetti
he's nervous, but on the surface he looks calm and ready to drop bombs
but he keeps on forgetting what he wrote down, the whole crowd goes so loud
he opens his mouth, but the words won't come out
he's choking how, everybody's joking now
the clock's run out, time's up, over, blaow!

snap back to reality
oh, there goes gravity
oh, there goes rabbit, he choked
he's so mad, but he won't give up that easy, no
he won't have it, he knows his whole back's to these ropes
it don't matter, he's dope
he knows that but he's broke
he's so stagnant, he knows when he goes back to his mobile home, that's when it's
back to the lab again, yo
this whole rhapsody
he better go capture this moment and hope it don't pass him

you better lose yourself in the music, the moment
you own it, you better never let it go
you only get one shot, do not miss your chance to blow
this opportunity comes once in a lifetime

you better lose yourself in the music, the moment
you own it, you better never let it go
you only get one shot, do not miss your chance to blow
this opportunity comes once in a lifetime
you better

the soul's escaping, through this hole that is gaping
this world is mine for the taking
make me king, as we move toward a new world order
a normal life is boring, but superstardom's close to post mortem
it only grows harder, homie grows hotter
he blows, it's all over
these hoes is all on him
coast to coast shows, he's known as the globetrotter
lonely roads, god only knows

he's knows is grown farther from home, he's no father
he goes home and barely knows his own daughter
but hold your nose 'cause here goes the cold water
his hoes don't want him no more, he's cold product
they moved on to the next schmoe who flows
he nose dove and sold nada
so the soap opera is told and unfolds
i suppose it's old partner but the beat goes on
da da dum, da dum da da

you better lose yourself in the music, the moment
you own it, you better never let it go
you only get one shot, do not miss your chance to blow
this opportunity comes once in a lifetime

you better lose yourself in the music, the moment
you own it, you better never let it go
you only get one shot, do not miss your chance to blow
this opportunity comes once in a lifetime
you better

no more games, i'ma change what you call rage
tear this motherfucking roof off like two dogs caged
i was playing in the beginning, the mood all changed
i've been chewed up and spit out and booed off stage
but i kept rhyming and stepped right into the next cypher
best believe somebody's paying the pied piper
all the pain inside amplified by the fact
that i can't get by with my 9-to-5

and i can't provide the right type of life for my family
'cause man, these goddamn food stamps don't buy diapers
and it's no movie, there's no mekhi phifer, this is my life
and these times are so hard, and it's getting even harder
trying to feed and water my seed, plus
teeter totter caught up between being a father and a prima donna
baby mama drama's screaming on and

too much for me to wanna stay in one spot, another day of monotony
has gotten me to the point, i'm like a snail i've got to formulate a plot or i end up in jail or shot
success is my only motherfucking option, failure's not
mom, i love you, but this trailer's got to go
i cannot grow old in salem's lot
so here i go it's my shot
feet, fail me not, this may be the only opportunity that i got
you better

lose yourself in the music, the moment
you own it, you better never let it go
you only get one shot, do not miss your chance to blow
this opportunity comes once in a lifetime

you better lose yourself in the music, the moment
you own it, you better never let it go
you only get one shot, do not miss your chance to blow
this opportunity comes once in a lifetime
you better

you can do anything you set your mind to, man",795,331,0.5836,8.5484,0.4164,6,0,0.9829,0.148,0.121,0.9829
5xEM5hIgJ1jjgcEBfpkt2F,"uh-huh, life's like this
uh-huh, uh-huh, that's the way it is
'cause life's like this
uh-huh, uh-huh, that's the way it is

chill out, what you yelling for?
lay back, it's all been done before
and if you could only let it be
you would see

i like you the way you are
when we're driving in your car
and you're talking to me, one on one
but you've become

somebody else 'round everyone else
you're watching your back like you can't relax
you're trying to be cool
you look like a fool to me
tell me

why do you have to go and make things so complicated?
i see the way you're acting like you're somebody else
gets me frustrated
life's like this, you

you fall, and you crawl, and you break
and you take what you get, and you turn it into
honesty and promise me i'm never gonna find you fake it
no, no, no

you come over unannounced
dressed up like you're something else
where you are and where it's at you see
you're making me

laugh out, when you strike your pose
take off all your preppy clothes
you know you're not fooling anyone
when you become

somebody else 'round everyone else
you're watching your back like you can't relax
you're trying to be cool
you look like a fool to me
tell me

why do you have to go and make things so complicated?
i see the way you're acting like you're somebody else
gets me frustrated
life's like this, you

you fall, and you crawl, and you break
and you take what you get, and you turn it into
honesty and promise me i'm never gonna find you fake it
no, no, no (no, no)

no, no, no (no, no)
no, no, no (no, no)
no, no, no (no, no)

chill out, what you yelling for?
lay back, it's all been done before
and if you could only let it be
you would see

somebody else 'round everyone else
you're watching your back like you can't relax
you're trying to be cool
you look like a fool to me
tell me

why do you have to go and make things so complicated?
i see the way you're acting like you're somebody else
gets me frustrated
life's like this, you

you fall, and you crawl, and you break
and you take what you get, and you turn it into
honesty and promise me i'm never gonna find you fake it
no, no

why do you have to go and make things so complicated?
i see the way you're acting like you're somebody else
gets me frustrated
life's like this, you

you fall, and you crawl, and you break
and you take what you get, and you turn it into
honesty and promise me i'm never gonna find you fake it
no, no, no",479,112,0.7662,6.473,0.2338,4,0,0.9655,0.167,0.128,0.9655
2PpruBYCo4H7WOBJ7Q2EwM,"one, two, three, uh!

my baby don't mess around
because she loves me so
and this i know for sure (uh)
but does she really wanna
but can't stand to see me walk out the door (ah)

don't try to fight the feeling
'cause the thought alone is killin' me right now (uh)
thank god for mom and dad
for sticking two together
'cause we don't know how (c'mon)

hey ya!
hey ya!
hey ya!
hey ya!

hey ya!
hey ya!
hey ya!
hey ya!

you think you've got it
oh, you think you've got it
but got it just don't get it when there's nothin' at all
we get together
oh, we get together
but separate's always better when there's feelings involved

if what they say is
nothing is forever
then what makes, then what makes
then what makes, then what makes
what makes, what makes love the exception?
so why, oh, why, oh
why, oh, why, oh, why, oh
are we so in denial when we know we're not happy here

hey ya! (uh-oh)
hey ya! (uh-oh)
don't want to meet your daddy
hey ya! (uh-oh)
just want you in my caddy (uh-oh)
hey ya! (uh-oh)
don't want to meet your momma
hey ya! (uh-oh)
just want to make you cum-a (uh-oh)
hey ya! (uh-oh)
i'm, i'm, i'm, i'm just being honest (uh-oh)
i'm just being honest!

hey, alright now, alright now, fellas (yeah?)
now, what cooler than being cool? (ice cold!)
i can't hear ya
i say, what's, what's cooler than being cool? (ice cold!)
alright, alright, alright, alright, alright, alright, alright
alright, alright, alright, alright, alright, alright, alright

okay, now ladies (yeah?)
now we gon' break this thing down in just a few seconds
now don't have me break this thang down for nothin'
now i want to see y'all on your baddest behavior
lend me some sugar, i am your neighbor
ah, here we go

shake it, sh-shake it, shake it, sh-shake it (uh-oh)
shake it, sh-shake it, shake it, shake it, sh-shake it (uh-oh)
shake it like a polaroid picture! hey ya!
shake it, sh-shake it, shake it, sh-shake it
shake it, shake it (okay), shake it, sugar
shake it like a polaroid picture

now all beyonce's, and lucy liu's
and baby dolls, get on the floor (get on the floor)
you know what to do
you know what to do
you know what to do

hey ya! (uh-oh)
hey ya! (uh-oh)
hey ya! (uh-oh)
hey ya! (uh-oh, hey ya!)
hey ya! (uh-oh)
hey ya! (uh-oh)
hey ya! (uh-oh)
hey ya! (uh-oh)
hey ya!
hey ya!",432,165,0.6181,5.5385,0.3819,26,0,0.9968,0.201,0.065,0.9968
4RY96Asd9IefaL3X4LOLZ8,"go, go, go, go, go, go
go, shorty, it's your birthday
we gon' party like it's your birthday
we gon' sip bacardi like it's your birthday
and you know we don't give a fuck it's not your birthday

you can find me in the club, bottle full of bub'
look, mami, i got the x if you into takin' drugs
i'm into havin' sex, i ain't into makin' love
so come give me a hug, if you into getting rubbed

you can find me in the club, bottle full of bub'
look, mami, i got the x if you into takin' drugs
i'm into havin' sex, i ain't into makin' love
so come give me a hug, if you into getting rubbed

when i pull up out front, you see the benz on dubs (uh-huh)
when i roll 20 deep, it's 20 nines in the club (yeah)
niggas heard i fuck with dre, now they wanna show me love
when you sell like eminem, then the hoes, they wanna fuck (woo)
look homie, ain't nothin' changed, hoes down, g's up
i see xzibit in the cut, hey, nigga, roll that weed up (roll that)
if you watch how i move, you'll mistake me for a player or pimp
been hit with a few shells, but i don't walk with a limp (i'm a'ight)

in the hood in l.a., they sayin', ""50, you hot"" (uh-huh)
they like me, i want 'em to love me like they love pac
but holla in new york, the niggas'll tell you i'm loco (yeah)
and the plan is to put the rap game in a chokehold (uh-huh)
i'm fully focused, man, my money on my mind
got a mil' out the deal, and i'm still on the grind (woo)
now shawty said she feelin' my style, she feelin' my flow (uh-huh)
her girlfriend with her, they bi and they ready to go (okay)

you can find me in the club, bottle full of bub'
look, mami, i got the x if you into takin' drugs
i'm into havin' sex, i ain't into makin' love
so come give me a hug, if you into getting rubbed

you can find me in the club, bottle full of bub'
look, mami, i got the x if you into takin' drugs
i'm into havin' sex i, ain't into makin' love
so come give me a hug, if you into getting rubbed (rubbed)

my flow, my show brought me the dough
that bought me all my fancy things
my crib, my cars, my clothes, my jewels
look, nigga, i done came up and i ain't changed (what? what? yeah)

and you should love it, way more then you hate it
nigga, you mad? i thought that you'd be happy i made it (woo)
i'm that cat by the bar toasting to the good life
you that faggot-ass nigga trying to pull me back, right?

when my jaws get to bumpin' in the club, it's on
i wink my eye at you, bitch, if she smiles, she gone
if the roof on fire, let the motherfucker burn
if the talk ain't 'bout money, homie, i ain't concerned

i'ma tell you what banks told me, ""cuz, go 'head switch the style up
if the niggas hate then let 'em hate and watch the money pile up""
or we can go upside your head wit' a bottle of bub'
they know where we fuckin' be

you can find me in the club, bottle full of bub'
look, mami, i got the x if you into takin' drugs
i'm into havin' sex, i ain't into makin' love
so come give me a hug, if you into getting rubbed

you can find me in the club, bottle full of bub'
look, mami, i got the x if you into takin' drugs
i'm into havin' sex, i ain't into makin' love
so come give me a hug, if you into getting rubbed (hahaha)

don't try to act like you don't know where we be neither, nigga
we in the club all the time, nigga, so pop, pop off, nigga
g-unit",684,242,0.6462,10.6875,0.3538,0,12,0.99,0.136,0.086,0.99
5IVuqXILoxVWvWEPm82Jxr,"yes (woo! ow!)
it's so crazy right now
most incredibly, it's ya girl, b
it's ya boy, young
you ready?

uh oh, uh oh, uh oh, oh no no (ow!)
uh oh, uh oh, uh oh, oh no no
uh oh, uh oh, uh oh, oh no no
uh oh, uh oh, uh oh, oh no no

yeah, history in the making
part two, so crazy right now

i look and stare so deep in your eyes
i touch on you more and more every time
when you leave i'm begging you not to go
call your name two, three times in a row
such a funny thing for me to try to explain
how i'm feeling and my pride is the one to blame (yeah)
'cause i know i don't understand
just how your love can do what no one else can

got me looking so crazy right now, your love's got me looking so crazy right now (your love)
got me looking so crazy right now, your touch got me looking so crazy right now (your touch)
got me hoping you'll page me right now, your kiss got me hoping you'll save me right now
looking so crazy, your love's got me looking, got me looking so crazy in love

uh oh, uh oh, uh oh, oh no no
uh oh, uh oh, uh oh, oh no no
uh oh, uh oh, uh oh, oh no no
uh oh, uh oh, uh oh, oh no no

when i talk to my friends so quietly
who he think he is? look at what you did to me
tennis shoes, don't even need to buy a new dress
if you ain't there ain't nobody else to impress
it's the way that you know what i thought i knew
it's the beat that my heart skips when i'm with you
but i still don't understand
just how your love can do what no one else can

got me looking so crazy right now, your love's got me looking so crazy right now (so crazy)
got me looking so crazy right now, your touch
got me looking so crazy right now (your love, yeah!)
got me hoping you'll page me right now, your kiss got me hoping you'll save me right now (hey! hey)
looking so crazy, your love's got me looking, got me looking so crazy in love
i'm looking so crazy, your love's got me looking, got me looking so crazy in love (i'm warmed up now, let's go)

young hov, y'all know when the flow is loco (no)
young b and the r-o-c, uh-oh (oh, no)
o.g. big homie, the one and only (no, no)
stick bony, but the pockets is fat like tony, soprano (no-no-no)
the roc handle like van exel
i shake phonies man, you can't get next to
the genuine article, i do not sing though
i sling though, if anything, i bling yo

star like ringo, war like a green beret
you crazy? bring your whole set
jay-z in the range, crazy and deranged
they can't figure him out, they like, ""hey is he insane?"" (oh no)
yes sir, i'm cut from a different cloth
my texture is the best fur, chinchilla
i been iller than chain smokers (uh oh, uh oh, uh oh, oh no no)
how you think i got the name hova? (uh oh, uh oh, uh oh, oh no no)
i been realer, the game's over

fall back young, ever since the label changed over to platinum, the game's been a wrap, one (uh oh, uh oh, uh oh, oh no no, uh oh, uh oh, uh oh, oh no no)

got me looking, so crazy, my baby
i'm not myself, lately i'm foolish, i don't do this
i've been playing myself, baby, i don't care
'cause your love's got the best of me
and baby, you're making a fool of me
you got me sprung and i don't care who sees
'cause baby you got me, you got me
you got me so crazy, baby (hey!)

got me looking so crazy right now, your love's got me looking so crazy right now (your love, lookin' crazy)
got me looking so crazy right now, your touch got me looking so crazy right now (yeah)
got me hoping you'll page me right now, your kiss got me hoping you'll save me right now (hey-yeah, oh!)
looking so crazy, your love's got me looking, got me looking so crazy in love (hey! whoa!)

got me looking so crazy right now, your love's got me looking so crazy right now (your love)
got me looking so crazy right now, your touch got me looking so crazy right now (your touch)
got me hoping you'll page me right now, your kiss got me hoping you'll save me right now
looking so crazy, your love's got me looking, got me looking so crazy in love",819,245,0.7009,10.92,0.2991,5,0,0.9356,0.173,0.157,0.9356
