Song Title,Artist,Release_Year,Reviewer,Violence,Heartbreak,Partying,Drugs,Sex,Self-Empowerment,Success,Hope,Celebration,Coming_Of_Age,Loneliness,Struggle,Love,Friendship,Traveling
Baby Got Back,Sir Mix-a-Lot,1992,Saksham,0,0,5,0,9,3,3,0,7,0,0,0,4,1,0
Black Hole Sun,Soundgarden,1994,Saksham,,,,,,,,,,,,,,,
Wannabe,Spice Girls,1996,Saksham,,,,,,,,,,,,,,,
Barbie Girl,Aqua,1997,Saksham,,,,,,,,,,,,,,,
No Scrubs,TLC,1999,Saksham,,,,,,,,,,,,,,,
In the End,Linkin Park,2001,Saksham,,,,,,,,,,,,,,,
Hot in Herre,Nelly,2002,Saksham,,,,,,,,,,,,,,,
Mr. Brightside,The Killers,2004,Saksham,,,,,,,,,,,,,,,
Hips Don't Lie,"Shakira, Wyclef Jean",2006,Saksham,,,,,,,,,,,,,,,
Crank That (Soulja Boy),Soulja Boy,2007,Saksham,,,,,,,,,,,,,,,
Bad Romance,Lady Gaga,2009,Saksham,,,,,,,,,,,,,,,
Somebody That I Used to Know,"Gotye, Kimbra",2011,Saksham,,,,,,,,,,,,,,,
Thrift Shop,"Macklemore, Ryan Lewis",2012,Saksham,0,0,6,0,0,6,6,3,5,3,0,3,0,3,2
Shake It Off,Taylor Swift,2014,Saksham,0,2,6,0,0,10,5,7,8,3,2,3,0,3,0
Closer,"The Chainsmokers, Halsey",2016,Saksham,0,3,6,3,9,2,0,3,4,7,0,3,8,1,6
HUMBLE.,Kendrick Lamar,2017,Saksham,5,0,3,2,3,8,10,4,4,3,0,4,0,0,0
bad guy,Billie Eilish,2019,Saksham,4,0,5,3,3,7,3,0,5,6,4,2,3,0,0
drivers license,Olivia Rodrigo,2021,Saksham,0,10,0,0,0,3,0,3,0,10,9,5,5,0,5
Kill Bill,SZA,2022,Saksham,8,9,0,0,0,3,0,2,0,3,7,4,6,0,0
Espresso,Sabrina Carpenter,2024,Saksham,0,0,6,0,5,8,5,3,7,4,0,0,4,2,5
Enjoy the Silence,Depeche Mode,1990,Max,0,8,0,0,0,0,0,3,0,0,10,4,6,0,0
I Will Always Love You,Whitney Houston,1992,Max,0,10,0,0,0,0,0,7,0,2,0,0,10,0,0
All That She Wants,Ace of Base,1993,Max,0,0,0,0,7,0,0,0,0,0,5,0,0,0,0
Gangsta's Paradise,"Coolio, L.V.",1995,Max,7,0,0,0,0,4,0,0,0,6,4,10,0,0,0
My Heart Will Go On,Céline Dion,1997,Max,0,10,0,0,0,0,0,8,0,0,0,0,10,0,0
I Don't Want to Miss a Thing,Aerosmith,1998,Max,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
Bye Bye Bye,*NSYNC,2000,Max,0,0,0,0,0,7,0,3,2,3,0,0,3,0,0
Lose Yourself,Eminem,2002,Max,0,0,0,0,0,10,6,0,0,8,0,10,0,0,0
In da Club,50 Cent,2003,Max,0,0,10,10,10,2,5,0,3,0,0,0,10,0,0
We Belong Together,Mariah Carey,2005,Max,0,10,0,0,0,0,0,1,0,0,3,0,4,0,0
Umbrella,"Rihanna, JAY-Z",2007,Max,0,0,0,0,0,0,0,4,0,3,0,0,0,10,0
Poker Face,Lady Gaga,2008,Max,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
Teenage Dream,Katy Perry,2010,Max,0,0,0,0,1,0,0,3,0,3,0,0,10,0,0
Gangnam Style,PSY,2012,Max,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
Wake Me Up,Avicii,2013,Max,0,0,0,0,0,0,0,10,0,8,0,0,0,0,1
Hotline Bling,Drake,2015,Max,0,8,4,0,8,0,0,0,0,0,3,0,4,0,0
Shape of You,Ed Sheeran,2017,Max,0,0,2,0,9,0,0,0,0,0,0,0,6,0,0
Shallow,"Lady Gaga, Bradley Cooper",2018,Max,0,2,0,0,0,0,0,0,0,10,4,0,3,0,0
Levitating,Dua Lipa,2020,Max,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0
As It Was,Harry Styles,2022,Max,0,7,0,0,0,0,0,0,0,0,5,0,3,0,0
vampire,Olivia Rodrigo,2023,Max,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
luther,"Kendrick Lamar, SZA",2025,Max,2,0,0,0,0,0,0,8,0,3,0,0,7,0,0
Losing My Religion,R.E.M.,1991,Jero,,,,,,,,,,,,,,,
What Is Love,Haddaway,1993,Jero,,,,,,,,,,,,,,,
All I Want for Christmas Is You,Mariah Carey,1994,Jero,,,,,,,,,,,,,,,
California Love,"2Pac, Dr. Dre",1996,Jero,,,,,,,,,,,,,,,
...Baby One More Time,Britney Spears,1998,Jero,,,,,,,,,,,,,,,
Smooth,"Santana, Rob Thomas",1999,Jero,,,,,,,,,,,,,,,
How You Remind Me,Nickelback,2001,Jero,,,,,,,,,,,,,,,
Crazy in Love,"Beyoncé, JAY-Z",2003,Jero,,,,,,,,,,,,,,,
Gold Digger,"Kanye West, Jamie Foxx",2005,Jero,,,,,,,,,,,,,,,
SexyBack,Justin Timberlake,2006,Jero,,,,,,,,,,,,,,,
Viva La Vida,Coldplay,2008,Jero,,,,,,,,,,,,,,,
Tik Tok,Kesha,2009,Jero,,,,,,,,,,,,,,,
Party Rock Anthem,LMFAO,2011,Jero,,,,,,,,,,,,,,,
Get Lucky,"Daft Punk, Pharrell Williams",2013,Jero,,,,,,,,,,,,,,,
Thinking Out Loud,Ed Sheeran,2014,Jero,,,,,,,,,,,,,,,
Starboy,"The Weeknd, Daft Punk",2016,Jero,,,,,,,,,,,,,,,
God's Plan,Drake,2018,Jero,,,,,,,,,,,,,,,
Blinding Lights,The Weeknd,2019,Jero,,,,,,,,,,,,,,,
STAY,"The Kid LAROI, Justin Bieber",2021,Jero,,,,,,,,,,,,,,,
Flowers,Miley Cyrus,2023,Jero,,,,,,,,,,,,,,,
A Bar Song (Tipsy),Shaboozey,2024,Jero,,,,,,,,,,,,,,,
Ice Ice Baby,Vanilla Ice,1990,Dilraj,2,0,8,3,2,6,7,2,6,3,0,3,0,2,2
Creep,Radiohead,1992,Dilraj,0,7,0,0,0,1,0,2,0,3,9,6,4,3,0
Basket Case,Green Day,1994,Dilraj,0,3,2,2,0,3,0,1,0,7,5,7,2,1,0
Waterfalls,TLC,1995,Dilraj,4,3,2,6,2,5,2,4,0,4,3,8,3,2,1
Bitter Sweet Symphony,The Verve,1997,Dilraj,2,5,0,1,0,4,0,5,0,4,5,7,3,0,3
I Want It That Way,Backstreet Boys,1999,Dilraj,0,8,0,0,0,0,0,2,0,3,5,2,8,3,0
Stan,"Eminem, Dido",2000,Dilraj,5,7,0,2,0,0,0,0,0,2,7,7,6,2,0
Complicated,Avril Lavigne,2002,Dilraj,0,5,2,0,0,3,0,2,0,8,3,4,5,3,0
Yeah!,"Usher, Lil Jon, Ludacris",2004,Dilraj,0,0,10,2,6,5,5,2,8,2,0,1,2,3,0
Feel Good Inc.,Gorillaz,2005,Dilraj,2,3,4,4,1,3,2,3,3,3,5,5,2,2,2
Stronger,Kanye West,2007,Dilraj,0,4,3,0,2,9,8,6,4,3,0,4,2,0,0
I Gotta Feeling,Black Eyed Peas,2009,Dilraj,0,0,10,0,2,5,4,7,9,3,0,0,2,5,2
Love the Way You Lie,"Eminem, Rihanna",2010,Dilraj,8,8,0,2,3,2,0,1,0,2,4,7,7,0,0
Call Me Maybe,Carly Rae Jepsen,2012,Dilraj,0,2,4,0,0,2,0,6,3,7,2,1,7,3,0
Uptown Funk,"Mark Ronson, Bruno Mars",2014,Dilraj,0,0,9,0,3,7,7,3,8,3,0,0,2,3,2
See You Again,"Wiz Khalifa, Charlie Puth",2015,Dilraj,0,6,0,0,0,3,3,7,2,3,4,5,5,8,3
Despacito,"Luis Fonsi, Daddy Yankee",2017,Dilraj,0,0,6,0,7,3,2,3,5,2,0,0,7,3,4
Old Town Road,"Lil Nas X, Billy Ray Cyrus",2019,Dilraj,0,0,5,2,2,7,6,5,5,3,0,3,2,2,5
WAP,"Cardi B, Megan Thee Stallion",2020,Dilraj,1,0,7,0,10,8,6,2,5,0,0,2,2,2,0
Anti-Hero,Taylor Swift,2022,Dilraj,0,4,0,0,0,3,0,2,0,4,7,6,3,0,0
Not Like Us,Kendrick Lamar,2024,Dilraj,7,2,4,0,2,8,5,2,2,2,0,5,0,2,0
Ordinary,Alex Warren,2025,Dilraj,0,8,0,0,0,3,0,4,0,5,7,7,5,2,0
